Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 67108864, 1, 1, 200, 11.4773, 4.46424, N/A, 2.25061, 443.398, 13980.5, 267.097, 512, 512, 128, 1, 4, 8, 5.81445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 200, 11.4773, 4.46424, N/A, 2.25061, 443.398, 13980.5, 267.097, 512, 512, 128, 1, 4, 8, 5.81445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 200, 11.4773, 4.46424, N/A, 2.25061, 443.398, 13980.5, 267.097, 512, 512, 128, 1, 4, 8, 5.81445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 200, 11.4773, 4.46424, N/A, 2.25061, 443.398, 13980.5, 267.097, 512, 512, 128, 1, 4, 8, 5.81445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 200, 11.4773, 4.46424, N/A, 2.25061, 443.398, 13980.5, 267.097, 512, 512, 128, 1, 4, 8, 5.81445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 200, 11.4773, 4.46424, N/A, 2.25061, 443.398, 13980.5, 267.097, 512, 512, 128, 1, 4, 8, 5.81445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 1677722, 1, 1, 200, 7.18541, 3.70066, N/A, 0.718375, 67.9961, 610.491, 24.4489, 64, 256, 16, 1, 4, 4, 1.64612, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 200, 11.0189, 4.82554, N/A, 2.7211, 208.238, 222.472, 446.957, 32, 64, 16, 1, 4, 8, 3.44417, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 64, 9.84695, 4.77711, N/A, 0.738751, 4.27499, 170.782, 263.974, 32, 64, 0.5, 1, 2, 8, 5.80015, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 64, 9.84695, 4.77711, N/A, 0.738751, 4.27499, 170.782, 263.974, 32, 64, 0.5, 1, 2, 8, 5.80015, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 8192, 29.8015, 8.64768, N/A, 380.472, 1465.93, 17124, 8160.64, 128, 2, 2, 1, 1, 1, 0.187619, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 128, 10.4207, 4.77711, N/A, 1.60735, 58.4236, 180.235, 351.049, 32, 64, 0.5, 1, 2, 16, 4.36147, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 128, 10.4207, 4.77711, N/A, 1.60735, 58.4236, 180.235, 351.049, 32, 64, 0.5, 1, 2, 16, 4.36147, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 128, 10.4207, 4.77711, N/A, 1.60735, 58.4236, 180.235, 351.049, 32, 64, 0.5, 1, 2, 16, 4.36147, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 128, 10.4207, 4.77711, N/A, 1.60735, 58.4236, 180.235, 351.049, 32, 64, 0.5, 1, 2, 16, 4.36147, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 64, 1, 128, 10.4207, 4.77711, N/A, 1.60735, 58.4236, 180.235, 351.049, 32, 64, 0.5, 1, 2, 16, 4.36147, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1024, 1, 128, 8.34221, 7.89632, N/A, 1.09564, 19.6094, 38.4886, 158.375, 4, 4, 0.125, 1, 1, 16, 9.66751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1024, 1, 128, 8.34221, 7.89632, N/A, 1.09564, 19.6094, 38.4886, 158.375, 4, 4, 0.125, 1, 1, 16, 9.66751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1024, 1, 128, 8.34221, 7.89632, N/A, 1.09564, 19.6094, 38.4886, 158.375, 4, 4, 0.125, 1, 1, 16, 9.66751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1024, 1, 128, 8.34221, 7.89632, N/A, 1.09564, 19.6094, 38.4886, 158.375, 4, 4, 0.125, 1, 1, 16, 9.66751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1024, 1, 128, 8.34221, 7.89632, N/A, 1.09564, 19.6094, 38.4886, 158.375, 4, 4, 0.125, 1, 1, 16, 9.66751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1024, 1, 128, 8.34221, 7.89632, N/A, 1.09564, 19.6094, 38.4886, 158.375, 4, 4, 0.125, 1, 1, 16, 9.66751, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
