Size (Bytes),	Line Size (Bytes),	Associativity,	Num Banks,	Technology Node (um),	Operating Temp (K),	Cycle time (s),	Per-Byte Read Energy (J),	Per-Byte Write Energy (J),	Static Power (W),	Area (mm2),
67108864,	441,	2,	1,	0.065,	360,	8.622610000000001e-10,	8.786870000000001e-08,	1.17899e-07,	86.233,	1828.58,
67108864,	442,	2,	1,	0.065,	360,	8.62556e-10,	8.81703e-08,	1.1815900000000002e-07,	86.101,	1831.69,
67108864,	443,	2,	1,	0.065,	360,	8.62852e-10,	8.84724e-08,	1.1842000000000001e-07,	85.9681,	1834.8,
67108864,	444,	2,	1,	0.065,	360,	8.639810000000001e-10,	8.883390000000001e-08,	1.18841e-07,	86.122,	1841.29,
67108864,	445,	2,	1,	0.065,	360,	8.64279e-10,	8.91371e-08,	1.1910200000000002e-07,	85.9875,	1844.4,
67108864,	446,	2,	1,	0.065,	360,	8.63984e-10,	8.679930000000001e-08,	1.1747200000000001e-07,	94.4964,	2042.93,
67108864,	447,	2,	1,	0.065,	360,	8.639810000000001e-10,	8.70539e-08,	1.1403700000000002e-07,	94.6456,	2048.51,
67108864,	448,	2,	1,	0.065,	360,	8.631280000000001e-10,	8.73591e-08,	1.1805e-07,	94.48580000000001,	2050.95,
67108864,	449,	2,	1,	0.065,	360,	8.63126e-10,	8.702620000000001e-08,	1.48683e-07,	94.6692,	1987.86,
67108864,	450,	2,	1,	0.065,	360,	8.62273e-10,	8.7267e-08,	1.4881800000000003e-07,	94.5083,	1990.19,
67108864,	451,	2,	1,	0.065,	360,	8.62274e-10,	8.754340000000001e-08,	1.45397e-07,	94.6492,	1996.12,
67108864,	452,	2,	1,	0.065,	360,	8.60568e-10,	8.779550000000001e-08,	1.4927e-07,	94.3265,	1996.42,
67108864,	453,	2,	1,	0.065,	360,	8.6057e-10,	8.814300000000001e-08,	1.4975200000000003e-07,	94.4694,	2003.11,
67108864,	454,	2,	1,	0.065,	360,	8.59717e-10,	8.83851e-08,	1.49887e-07,	94.3075,	2005.43,
67108864,	455,	2,	1,	0.065,	360,	8.59721e-10,	8.864990000000001e-08,	1.4645500000000002e-07,	94.4448,	2010.79,
67108864,	456,	2,	1,	0.065,	360,	8.580150000000001e-10,	8.89029e-08,	1.5032400000000002e-07,	94.12,	2011.07,
67108864,	457,	2,	1,	0.065,	360,	8.580200000000001e-10,	8.920890000000001e-08,	1.50762e-07,	94.2552,	2015.86,
67108864,	458,	2,	1,	0.065,	360,	8.571680000000001e-10,	8.9452e-08,	1.50897e-07,	94.09230000000001,	2018.18,
67108864,	459,	2,	1,	0.065,	360,	8.571740000000001e-10,	8.97184e-08,	1.4746700000000003e-07,	94.2259,	2023.53,
67108864,	460,	2,	1,	0.065,	360,	8.55469e-10,	8.997230000000001e-08,	1.51332e-07,	93.899,	2023.78,
67108864,	461,	2,	1,	0.065,	360,	8.554760000000001e-10,	9.02798e-08,	1.51768e-07,	94.0306,	2028.56,
67108864,	462,	2,	1,	0.065,	360,	8.546240000000001e-10,	9.052410000000002e-08,	1.51904e-07,	93.8667,	2030.87,
67108864,	463,	2,	1,	0.065,	360,	8.54633e-10,	9.079200000000001e-08,	1.4847700000000001e-07,	93.9967,	2036.22,
67108864,	464,	2,	1,	0.065,	360,	8.529290000000001e-10,	9.10469e-08,	1.52337e-07,	93.6678,	2036.44,
67108864,	465,	2,	1,	0.065,	360,	8.53802e-10,	9.142000000000001e-08,	1.5307e-07,	94.0882,	2043.68,
67108864,	466,	2,	1,	0.065,	360,	8.5295e-10,	9.16655e-08,	1.53206e-07,	93.9227,	2045.98,
67108864,	467,	2,	1,	0.065,	360,	8.52962e-10,	9.19353e-08,	1.4976800000000002e-07,	94.05260000000001,	2051.34,
67108864,	468,	2,	1,	0.065,	360,	8.52111e-10,	9.223580000000001e-08,	1.53791e-07,	93.8865,	2053.63,
67108864,	469,	2,	1,	0.065,	360,	8.51273e-10,	9.250210000000001e-08,	1.5407e-07,	93.8444,	2056.29,
67108864,	470,	2,	1,	0.065,	360,	8.504210000000001e-10,	9.27487e-08,	1.54206e-07,	93.6778,	2058.58,
67108864,	471,	2,	1,	0.065,	360,	8.50436e-10,	9.30197e-08,	1.50771e-07,	93.8002,	2063.91,
67108864,	472,	2,	1,	0.065,	360,	8.495850000000001e-10,	9.33214e-08,	1.54789e-07,	93.63310000000001,	2066.2,
67108864,	473,	2,	1,	0.065,	360,	8.496010000000001e-10,	9.36338e-08,	1.55221e-07,	93.7539,	2070.95,
67108864,	474,	2,	1,	0.065,	360,	8.487500000000001e-10,	9.38817e-08,	1.55358e-07,	93.58630000000001,	2073.23,
67108864,	475,	2,	1,	0.065,	360,	8.479160000000001e-10,	9.410920000000001e-08,	1.51771e-07,	93.53739999999999,	2076.43,
67108864,	476,	2,	1,	0.065,	360,	8.47066e-10,	9.44121e-08,	1.5578400000000001e-07,	93.36930000000001,	2078.71,
67108864,	477,	2,	1,	0.065,	360,	8.47084e-10,	9.472620000000001e-08,	1.5621500000000003e-07,	93.4865,	2083.45,
67108864,	478,	2,	1,	0.065,	360,	8.462340000000001e-10,	9.497510000000001e-08,	1.5635200000000002e-07,	93.3179,	2085.72,
67108864,	479,	2,	1,	0.065,	360,	8.462530000000001e-10,	9.52492e-08,	1.5292e-07,	93.4335,	2091.04,
67108864,	480,	2,	1,	0.065,	360,	8.45403e-10,	9.555360000000001e-08,	1.56933e-07,	93.2643,	2093.32,
67108864,	481,	2,	1,	0.065,	360,	8.454460000000001e-10,	9.59355e-08,	1.5754300000000002e-07,	93.4957,	2100.21,
67108864,	482,	2,	1,	0.065,	360,	8.44596e-10,	9.61858e-08,	1.5768000000000002e-07,	93.3255,	2102.48,
67108864,	483,	2,	1,	0.065,	360,	8.44619e-10,	9.647550000000001e-08,	1.54254e-07,	93.437,	2108.38,
67108864,	484,	2,	1,	0.065,	360,	8.437690000000001e-10,	9.67816e-08,	1.58275e-07,	93.2663,	2110.65,
67108864,	485,	2,	1,	0.065,	360,	8.437940000000001e-10,	9.70992e-08,	1.5870300000000001e-07,	93.3763,	2115.37,
67108864,	486,	2,	1,	0.065,	360,	8.429440000000001e-10,	9.73507e-08,	1.58841e-07,	93.2051,	2117.63,
67108864,	487,	2,	1,	0.065,	360,	8.4297e-10,	9.76279e-08,	1.5540000000000003e-07,	93.3135,	2122.94,
67108864,	488,	2,	1,	0.065,	360,	8.4212e-10,	9.79354e-08,	1.59421e-07,	93.1417,	2125.2,
67108864,	489,	2,	1,	0.065,	360,	8.42147e-10,	9.825460000000001e-08,	1.59849e-07,	93.24860000000001,	2129.91,
67108864,	490,	2,	1,	0.065,	360,	8.40448e-10,	9.846080000000001e-08,	1.59825e-07,	92.90410000000001,	2129.97,
67108864,	491,	2,	1,	0.065,	360,	8.404770000000001e-10,	9.87396e-08,	1.5638999999999999e-07,	93.0089,	2135.27,
67108864,	492,	2,	1,	0.065,	360,	8.396280000000001e-10,	9.904840000000001e-08,	1.60404e-07,	92.8361,	2137.52,
67108864,	493,	2,	1,	0.065,	360,	8.39657e-10,	9.936920000000002e-08,	1.60831e-07,	92.9393,	2142.22,
67108864,	494,	2,	1,	0.065,	360,	8.38808e-10,	9.9623e-08,	1.6096900000000002e-07,	92.76610000000001,	2144.47,
67108864,	495,	2,	1,	0.065,	360,	8.388390000000001e-10,	9.990340000000001e-08,	1.57534e-07,	92.8677,	2149.77,
67108864,	496,	2,	1,	0.065,	360,	8.3799e-10,	1.0012800000000001e-07,	1.61462e-07,	92.7384,	2147.91,
67108864,	497,	2,	1,	0.065,	360,	1.1288100000000002e-09,	9.90427e-08,	1.14083e-07,	85.13589999999999,	2201.69,
67108864,	498,	2,	1,	0.065,	360,	1.12916e-09,	9.933310000000001e-08,	1.1437200000000001e-07,	85.1137,	2205.58,
67108864,	499,	2,	1,	0.065,	360,	1.1295100000000002e-09,	9.9624e-08,	1.1466100000000001e-07,	85.09100000000001,	2209.46,
67108864,	500,	2,	1,	0.065,	360,	1.12986e-09,	9.99151e-08,	1.1495000000000001e-07,	85.0678,	2213.35,
67108864,	501,	2,	1,	0.065,	360,	1.13022e-09,	1.00207e-07,	1.1524e-07,	85.0479,	2217.25,
67108864,	502,	2,	1,	0.065,	360,	1.13058e-09,	1.00499e-07,	1.1553e-07,	85.0236,	2221.13,
67108864,	503,	2,	1,	0.065,	360,	1.1309300000000001e-09,	1.00791e-07,	1.1581900000000001e-07,	84.99889999999999,	2225.01,
67108864,	504,	2,	1,	0.065,	360,	1.13129e-09,	1.0108400000000001e-07,	1.1611000000000001e-07,	84.9736,	2228.89,
67108864,	505,	2,	1,	0.065,	360,	1.13286e-09,	1.0142400000000001e-07,	1.16473e-07,	85.0871,	2234.67,
67108864,	506,	2,	1,	0.065,	360,	1.13322e-09,	1.0171700000000001e-07,	1.16764e-07,	85.06060000000001,	2238.55,
67108864,	507,	2,	1,	0.065,	360,	1.1335900000000002e-09,	1.02011e-07,	1.1705500000000001e-07,	85.0335,	2242.43,
67108864,	508,	2,	1,	0.065,	360,	1.13395e-09,	1.02306e-07,	1.17347e-07,	85.0097,	2246.33,
67108864,	509,	2,	1,	0.065,	360,	1.13432e-09,	1.026e-07,	1.17639e-07,	84.98160000000001,	2250.2,
67108864,	510,	2,	1,	0.065,	360,	1.13468e-09,	1.02895e-07,	1.17931e-07,	84.953,	2254.08,
67108864,	511,	2,	1,	0.065,	360,	1.13505e-09,	1.0319100000000001e-07,	1.1822300000000001e-07,	84.92389999999999,	2257.95,
67108864,	512,	2,	1,	0.065,	360,	1.1345700000000001e-09,	1.03463e-07,	1.1846300000000001e-07,	84.7351,	2260.55,
67108864,	513,	2,	1,	0.065,	360,	1.1370100000000002e-09,	1.0385400000000001e-07,	1.18905e-07,	85.002,	2268.56,
67108864,	514,	2,	1,	0.065,	360,	1.1373400000000001e-09,	1.04092e-07,	1.19139e-07,	84.9114,	2270.79,
67108864,	515,	2,	1,	0.065,	360,	1.13771e-09,	1.04389e-07,	1.19433e-07,	84.8839,	2274.69,
67108864,	516,	2,	1,	0.065,	360,	1.1380900000000002e-09,	1.0468600000000002e-07,	1.19726e-07,	84.8519,	2278.56,
67108864,	517,	2,	1,	0.065,	360,	1.13847e-09,	1.04984e-07,	1.2002e-07,	84.8194,	2282.42,
67108864,	518,	2,	1,	0.065,	360,	1.13885e-09,	1.05282e-07,	1.20314e-07,	84.7864,	2286.29,
67108864,	519,	2,	1,	0.065,	360,	1.13923e-09,	1.0558000000000001e-07,	1.20609e-07,	84.7568,	2290.18,
67108864,	520,	2,	1,	0.065,	360,	1.1396100000000002e-09,	1.0587900000000002e-07,	1.20904e-07,	84.7228,	2294.05,
67108864,	521,	2,	1,	0.065,	360,	1.14122e-09,	1.06226e-07,	1.21272e-07,	84.81960000000001,	2299.81,
67108864,	522,	2,	1,	0.065,	360,	1.1416e-09,	1.06526e-07,	1.21567e-07,	84.7883,	2303.69,
67108864,	523,	2,	1,	0.065,	360,	1.1419900000000001e-09,	1.06826e-07,	1.21863e-07,	84.7524,	2307.56,
67108864,	524,	2,	1,	0.065,	360,	1.14238e-09,	1.0712600000000002e-07,	1.22158e-07,	84.71610000000001,	2311.42,
67108864,	525,	2,	1,	0.065,	360,	1.1427700000000002e-09,	1.0430800000000001e-07,	1.34363e-07,	84.39460000000001,	2128.19,
67108864,	526,	2,	1,	0.065,	360,	1.14316e-09,	1.04628e-07,	1.34673e-07,	84.36110000000001,	2132.62,
67108864,	527,	2,	1,	0.065,	360,	1.14355e-09,	1.04908e-07,	1.3494300000000002e-07,	84.3227,	2135.51,
67108864,	528,	2,	1,	0.065,	360,	1.14394e-09,	1.05204e-07,	1.3522900000000003e-07,	84.2839,	2139.04,
67108864,	529,	2,	1,	0.065,	360,	1.14557e-09,	1.0551900000000001e-07,	1.35585e-07,	84.37339999999999,	2143.09,
67108864,	530,	2,	1,	0.065,	360,	1.14597e-09,	1.05831e-07,	1.35887e-07,	84.33330000000001,	2147.25,
67108864,	531,	2,	1,	0.065,	360,	1.14637e-09,	1.06113e-07,	1.3615700000000002e-07,	84.29260000000001,	2150.13,
67108864,	532,	2,	1,	0.065,	360,	1.14676e-09,	1.0641e-07,	1.3644300000000003e-07,	84.25150000000001,	2153.65,
67108864,	533,	2,	1,	0.065,	360,	1.14716e-09,	1.06692e-07,	1.3671500000000002e-07,	84.2138,	2156.55,
67108864,	534,	2,	1,	0.065,	360,	1.14756e-09,	1.0699000000000001e-07,	1.3700100000000002e-07,	84.17160000000001,	2160.07,
67108864,	535,	2,	1,	0.065,	360,	1.14797e-09,	1.07273e-07,	1.3727199999999999e-07,	84.1289,	2162.94,
67108864,	536,	2,	1,	0.065,	360,	1.1492199999999999e-09,	1.0762200000000001e-07,	1.37671e-07,	84.25630000000001,	2168.82,
67108864,	537,	2,	1,	0.065,	360,	1.1508700000000002e-09,	1.0794100000000001e-07,	1.38028e-07,	84.3399,	2172.85,
67108864,	538,	2,	1,	0.065,	360,	1.1512800000000002e-09,	1.0824100000000001e-07,	1.38316e-07,	84.29560000000001,	2176.37,
67108864,	539,	2,	1,	0.065,	360,	1.1516900000000002e-09,	1.0852500000000001e-07,	1.38587e-07,	84.2508,	2179.23,
67108864,	540,	2,	1,	0.065,	360,	1.1521e-09,	1.08851e-07,	1.38901e-07,	84.20989999999999,	2183.64,
67108864,	541,	2,	1,	0.065,	360,	1.15251e-09,	1.09136e-07,	1.39173e-07,	84.1641,	2186.5,
67108864,	542,	2,	1,	0.065,	360,	1.15292e-09,	1.09437e-07,	1.3946e-07,	84.1178,	2190.01,
67108864,	543,	2,	1,	0.065,	360,	1.15333e-09,	1.09722e-07,	1.3973300000000002e-07,	84.0709,	2192.87,
67108864,	544,	2,	1,	0.065,	360,	1.15375e-09,	1.10024e-07,	1.40021e-07,	84.0236,	2196.37,
67108864,	545,	2,	1,	0.065,	360,	1.15543e-09,	1.1034600000000001e-07,	1.40378e-07,	84.1008,	2200.38,
67108864,	546,	2,	1,	0.065,	360,	1.15669e-09,	1.10716e-07,	1.4079800000000001e-07,	84.2258,	2206.95,
67108864,	547,	2,	1,	0.065,	360,	1.1571100000000002e-09,	1.11004e-07,	1.41071e-07,	84.181,	2209.82,
67108864,	548,	2,	1,	0.065,	360,	1.15753e-09,	1.11307e-07,	1.4136000000000002e-07,	84.1316,	2213.33,
67108864,	549,	2,	1,	0.065,	360,	1.1579500000000001e-09,	1.11594e-07,	1.41633e-07,	84.0817,	2216.17,
67108864,	550,	2,	1,	0.065,	360,	1.15838e-09,	1.11898e-07,	1.4192200000000002e-07,	84.0312,	2219.67,
67108864,	551,	2,	1,	0.065,	360,	1.1588000000000002e-09,	1.1218700000000001e-07,	1.42196e-07,	83.9802,	2222.51,
67108864,	552,	2,	1,	0.065,	360,	1.1592300000000001e-09,	1.1249100000000001e-07,	1.4248500000000002e-07,	83.92869999999999,	2226.01,
67108864,	553,	2,	1,	0.065,	360,	1.16177e-09,	1.12869e-07,	1.4296e-07,	84.17569999999999,	2232.44,
67108864,	554,	2,	1,	0.065,	360,	1.1622e-09,	1.13201e-07,	1.4327600000000002e-07,	84.1277,	2236.83,
67108864,	555,	2,	1,	0.065,	360,	1.1626300000000002e-09,	1.1349100000000001e-07,	1.4355e-07,	84.07469999999999,	2239.67,
67108864,	556,	2,	1,	0.065,	360,	1.1630600000000001e-09,	1.1379700000000001e-07,	1.4384100000000002e-07,	84.0211,	2243.17,
67108864,	557,	2,	1,	0.065,	360,	1.1635e-09,	1.1408700000000001e-07,	1.4411500000000002e-07,	83.9671,	2245.99,
67108864,	558,	2,	1,	0.065,	360,	1.16393e-09,	1.1439400000000001e-07,	1.44406e-07,	83.91250000000001,	2249.49,
67108864,	559,	2,	1,	0.065,	360,	1.16437e-09,	1.1468600000000001e-07,	1.4468000000000002e-07,	83.8574,	2252.31,
67108864,	560,	2,	1,	0.065,	360,	1.1656500000000002e-09,	1.1504600000000001e-07,	1.45089e-07,	83.9794,	2258.26,
67108864,	561,	2,	1,	0.065,	360,	1.16737e-09,	1.1537600000000001e-07,	1.4544900000000002e-07,	84.04939999999999,	2262.27,
67108864,	562,	2,	1,	0.065,	360,	1.1678100000000001e-09,	1.15701e-07,	1.4575700000000003e-07,	83.9928,	2266.44,
67108864,	563,	2,	1,	0.065,	360,	1.1682500000000002e-09,	1.15993e-07,	1.4603200000000002e-07,	83.93560000000001,	2269.26,
67108864,	564,	2,	1,	0.065,	360,	1.16869e-09,	1.16303e-07,	1.4632400000000003e-07,	83.8779,	2272.75,
67108864,	565,	2,	1,	0.065,	360,	1.1691400000000002e-09,	1.1659600000000001e-07,	1.46599e-07,	83.8197,	2275.56,
67108864,	566,	2,	1,	0.065,	360,	1.17043e-09,	1.1695900000000001e-07,	1.4701e-07,	83.9404,	2281.54,
67108864,	567,	2,	1,	0.065,	360,	1.1708700000000001e-09,	1.1725300000000001e-07,	1.47286e-07,	83.8814,	2284.35,
67108864,	568,	2,	1,	0.065,	360,	1.17132e-09,	1.17564e-07,	1.4757900000000003e-07,	83.8219,	2287.84,
67108864,	569,	2,	1,	0.065,	360,	1.1730700000000002e-09,	1.17923e-07,	1.4796600000000002e-07,	83.8865,	2292.69,
67108864,	570,	2,	1,	0.065,	360,	1.1735199999999999e-09,	1.1823500000000001e-07,	1.48259e-07,	83.8257,	2296.18,
67108864,	571,	2,	1,	0.065,	360,	1.17481e-09,	1.18585e-07,	1.48656e-07,	83.9453,	2301.49,
67108864,	572,	2,	1,	0.065,	360,	1.17527e-09,	1.1889700000000001e-07,	1.4894900000000002e-07,	83.88380000000001,	2304.98,
67108864,	573,	2,	1,	0.065,	360,	1.1757200000000002e-09,	1.19193e-07,	1.4922600000000002e-07,	83.82169999999999,	2307.77,
67108864,	574,	2,	1,	0.065,	360,	1.1761800000000002e-09,	1.19506e-07,	1.4952000000000003e-07,	83.7591,	2311.26,
67108864,	575,	2,	1,	0.065,	360,	1.17664e-09,	1.19803e-07,	1.49797e-07,	83.696,	2314.05,
67108864,	576,	2,	1,	0.065,	360,	1.17794e-09,	1.20172e-07,	1.50212e-07,	83.819,	2320.09,
67108864,	577,	2,	1,	0.065,	360,	1.17971e-09,	1.20508e-07,	1.50574e-07,	83.8735,	2324.04,
67108864,	578,	2,	1,	0.065,	360,	1.18017e-09,	1.2083900000000001e-07,	1.50885e-07,	83.8088,	2328.22,
67108864,	579,	2,	1,	0.065,	360,	1.18063e-09,	1.21137e-07,	1.5116300000000001e-07,	83.7437,	2331.01,
67108864,	580,	2,	1,	0.065,	360,	1.1811000000000002e-09,	1.2145300000000002e-07,	1.51458e-07,	83.678,	2334.49,
67108864,	581,	2,	1,	0.065,	360,	1.18241e-09,	1.21807e-07,	1.51858e-07,	83.79560000000001,	2339.82,
67108864,	582,	2,	1,	0.065,	360,	1.18288e-09,	1.2212300000000001e-07,	1.52153e-07,	83.7291,	2343.31,
67108864,	583,	2,	1,	0.065,	360,	1.18335e-09,	1.2245000000000001e-07,	1.52459e-07,	83.6669,	2346.98,
67108864,	584,	2,	1,	0.065,	360,	1.1838200000000002e-09,	1.22767e-07,	1.52755e-07,	83.5994,	2350.46,
67108864,	585,	2,	1,	0.065,	360,	1.1864500000000002e-09,	1.23162e-07,	1.5324000000000001e-07,	83.833,	2356.96,
67108864,	586,	2,	1,	0.065,	360,	1.18692e-09,	1.2348000000000002e-07,	1.53536e-07,	83.7645,	2360.45,
67108864,	587,	2,	1,	0.065,	360,	1.1874e-09,	1.2378100000000001e-07,	1.53815e-07,	83.6955,	2363.22,
67108864,	588,	2,	1,	0.065,	360,	1.18787e-09,	1.24099e-07,	1.54112e-07,	83.6259,	2366.7,
67108864,	589,	2,	1,	0.065,	360,	1.1891900000000001e-09,	1.2445700000000001e-07,	1.54515e-07,	83.742,	2372.05,
67108864,	590,	2,	1,	0.065,	360,	1.18967e-09,	1.24777e-07,	1.5481200000000002e-07,	83.6761,	2375.56,
67108864,	591,	2,	1,	0.065,	360,	1.19015e-09,	1.25079e-07,	1.5509200000000002e-07,	83.6053,	2378.33,
67108864,	592,	2,	1,	0.065,	360,	1.19063e-09,	1.25399e-07,	1.5538900000000002e-07,	83.5339,	2381.8,
67108864,	593,	2,	1,	0.065,	360,	1.19328e-09,	1.25798e-07,	1.55878e-07,	83.7644,	2388.33,
67108864,	594,	2,	1,	0.065,	360,	1.1937700000000001e-09,	1.26136e-07,	1.5619300000000003e-07,	83.69210000000001,	2392.52,
67108864,	595,	2,	1,	0.065,	360,	1.1942600000000002e-09,	1.2644e-07,	1.5647300000000003e-07,	83.61919999999999,	2395.28,
67108864,	596,	2,	1,	0.065,	360,	1.19474e-09,	1.26762e-07,	1.56771e-07,	83.5457,	2398.76,
67108864,	597,	2,	1,	0.065,	360,	1.19607e-09,	1.27152e-07,	1.57205e-07,	83.66510000000001,	2405.03,
67108864,	598,	2,	1,	0.065,	360,	1.19656e-09,	1.2747400000000002e-07,	1.57504e-07,	83.59089999999999,	2408.51,
67108864,	599,	2,	1,	0.065,	360,	1.1970500000000001e-09,	1.2778e-07,	1.57785e-07,	83.5162,	2411.26,
67108864,	600,	2,	1,	0.065,	360,	1.19755e-09,	1.2810300000000002e-07,	1.58084e-07,	83.441,	2414.74,
67108864,	601,	2,	1,	0.065,	360,	1.2002200000000002e-09,	1.28505e-07,	1.58575e-07,	83.66839999999999,	2421.29,
67108864,	602,	2,	1,	0.065,	360,	1.2007200000000002e-09,	1.28725e-07,	1.5877e-07,	83.61439999999999,	2419.87,
67108864,	603,	2,	1,	0.065,	360,	1.2054400000000001e-09,	1.28976e-07,	1.59255e-07,	83.412,	2422.43,
67108864,	604,	2,	1,	0.065,	360,	1.5761000000000002e-09,	1.21552e-07,	1.36608e-07,	83.7508,	2312.98,
67108864,	605,	2,	1,	0.065,	360,	1.5756900000000002e-09,	1.21856e-07,	1.3689900000000001e-07,	83.6735,	2316.59,
67108864,	606,	2,	1,	0.065,	360,	1.57615e-09,	1.2218000000000003e-07,	1.3722800000000002e-07,	83.6934,	2321.05,
67108864,	607,	2,	1,	0.065,	360,	1.57574e-09,	1.2247700000000002e-07,	1.3751200000000002e-07,	83.61510000000001,	2324.34,
67108864,	608,	2,	1,	0.065,	360,	1.5762000000000002e-09,	1.2280100000000002e-07,	1.3784100000000002e-07,	83.6344,	2328.8,
67108864,	609,	2,	1,	0.065,	360,	1.57714e-09,	1.23146e-07,	1.38194e-07,	83.67,	2333.69,
67108864,	610,	2,	1,	0.065,	360,	1.57761e-09,	1.23471e-07,	1.38524e-07,	83.6862,	2338.14,
67108864,	611,	2,	1,	0.065,	360,	1.57808e-09,	1.23826e-07,	1.3888300000000001e-07,	83.7052,	2343.56,
67108864,	612,	2,	1,	0.065,	360,	1.57768e-09,	1.24124e-07,	1.3916800000000002e-07,	83.6246,	2346.86,
67108864,	613,	2,	1,	0.065,	360,	1.57815e-09,	1.2445900000000002e-07,	1.39507e-07,	83.6422,	2351.65,
67108864,	614,	2,	1,	0.065,	360,	1.57775e-09,	1.24758e-07,	1.39793e-07,	83.56060000000001,	2354.95,
67108864,	615,	2,	1,	0.065,	360,	1.57823e-09,	1.25086e-07,	1.4012500000000002e-07,	83.5776,	2359.43,
67108864,	616,	2,	1,	0.065,	360,	1.5787000000000001e-09,	1.2541400000000001e-07,	1.40456e-07,	83.5921,	2363.9,
67108864,	617,	2,	1,	0.065,	360,	1.5796600000000001e-09,	1.25762e-07,	1.4081200000000003e-07,	83.6225,	2368.79,
67108864,	618,	2,	1,	0.065,	360,	1.58015e-09,	1.2609100000000001e-07,	1.41145e-07,	83.63850000000001,	2373.28,
67108864,	619,	2,	1,	0.065,	360,	1.57975e-09,	1.26392e-07,	1.41432e-07,	83.5545,	2376.58,
67108864,	620,	2,	1,	0.065,	360,	1.5802400000000001e-09,	1.2672100000000001e-07,	1.41765e-07,	83.5698,	2381.07,
67108864,	621,	2,	1,	0.065,	360,	1.58072e-09,	1.27059e-07,	1.4210700000000002e-07,	83.58260000000001,	2385.87,
67108864,	622,	2,	1,	0.065,	360,	1.58033e-09,	1.27362e-07,	1.4239500000000003e-07,	83.4996,	2389.18,
67108864,	623,	2,	1,	0.065,	360,	1.58082e-09,	1.27692e-07,	1.4272900000000003e-07,	83.5117,	2393.67,
67108864,	624,	2,	1,	0.065,	360,	1.58131e-09,	1.28023e-07,	1.43064e-07,	83.5259,	2398.17,
67108864,	625,	2,	1,	0.065,	360,	1.5823000000000002e-09,	1.2840400000000002e-07,	1.43451e-07,	83.552,	2404.03,
67108864,	626,	2,	1,	0.065,	360,	1.58279e-09,	1.28736e-07,	1.4378700000000002e-07,	83.5631,	2408.53,
67108864,	627,	2,	1,	0.065,	360,	1.5832800000000001e-09,	1.2906800000000003e-07,	1.4412200000000002e-07,	83.5763,	2413.03,
67108864,	628,	2,	1,	0.065,	360,	1.5829e-09,	1.2937200000000003e-07,	1.44412e-07,	83.48819999999999,	2416.33,
67108864,	629,	2,	1,	0.065,	360,	1.5834e-09,	1.2971400000000002e-07,	1.44757e-07,	83.5007,	2421.17,
67108864,	630,	2,	1,	0.065,	360,	1.5839e-09,	1.30047e-07,	1.45093e-07,	83.5107,	2425.68,
67108864,	631,	2,	1,	0.065,	360,	1.5835200000000001e-09,	1.3035300000000003e-07,	1.45384e-07,	83.42360000000001,	2428.99,
67108864,	632,	2,	1,	0.065,	360,	1.5840300000000002e-09,	1.30687e-07,	1.45721e-07,	83.43289999999999,	2433.5,
67108864,	633,	2,	1,	0.065,	360,	1.58591e-09,	1.3107e-07,	1.46128e-07,	83.55260000000001,	2439.63,
67108864,	634,	2,	1,	0.065,	360,	1.58554e-09,	1.3137700000000003e-07,	1.4641999999999998e-07,	83.464,	2442.94,
67108864,	635,	2,	1,	0.065,	360,	1.5860500000000001e-09,	1.31713e-07,	1.4675800000000002e-07,	83.4723,	2447.46,
67108864,	636,	2,	1,	0.065,	360,	1.58655e-09,	1.3204900000000002e-07,	1.47097e-07,	83.4827,	2451.99,
67108864,	637,	2,	1,	0.065,	360,	1.58706e-09,	1.32393e-07,	1.47444e-07,	83.4904,	2456.84,
67108864,	638,	2,	1,	0.065,	360,	1.5867000000000001e-09,	1.3270200000000002e-07,	1.47737e-07,	83.40010000000001,	2460.16,
67108864,	639,	2,	1,	0.065,	360,	1.5872100000000001e-09,	1.33039e-07,	1.48076e-07,	83.4073,	2464.68,
67108864,	640,	2,	1,	0.065,	360,	1.5877200000000002e-09,	1.3340600000000002e-07,	1.48446e-07,	83.41730000000001,	2470.18,
67108864,	641,	2,	1,	0.065,	360,	1.5887500000000001e-09,	1.33764e-07,	1.4880900000000002e-07,	83.43260000000001,	2475.11,
67108864,	642,	2,	1,	0.065,	360,	1.58927e-09,	1.3410300000000002e-07,	1.4915e-07,	83.4387,	2479.64,
67108864,	643,	2,	1,	0.065,	360,	1.5897900000000002e-09,	1.34442e-07,	1.4949100000000002e-07,	83.447,	2484.19,
67108864,	644,	2,	1,	0.065,	360,	1.59031e-09,	1.3478100000000002e-07,	1.4983300000000002e-07,	83.4526,	2488.73,
67108864,	645,	2,	1,	0.065,	360,	1.58995e-09,	1.351e-07,	1.50135e-07,	83.35910000000001,	2492.39,
67108864,	646,	2,	1,	0.065,	360,	1.59048e-09,	1.3544e-07,	1.50477e-07,	83.364,	2496.93,
67108864,	647,	2,	1,	0.065,	360,	1.591e-09,	1.3578000000000002e-07,	1.5082e-07,	83.37110000000001,	2501.49,
67108864,	648,	2,	1,	0.065,	360,	1.5915200000000001e-09,	1.36121e-07,	1.5116300000000001e-07,	83.3755,	2506.04,
67108864,	649,	2,	1,	0.065,	360,	1.5925800000000003e-09,	1.3648300000000002e-07,	1.51529e-07,	83.386,	2510.98,
