Size (Bytes),	Line Size (Bytes),	Associativity,	Num Banks,	Technology Node (um),	Operating Temp (K),	Cycle time (s),	Per-Byte Read Energy (J),	Per-Byte Write Energy (J),	Static Power (W),	Area (mm2),
67108864,	48,	2,	1,	0.065,	360,	4.84934e-10,	6.19468e-09,	6.58701e-09,	97.73710000000001,	700.865,
67108864,	49,	2,	1,	0.065,	360,	4.86201e-10,	6.34061e-09,	7.128420000000001e-09,	98.2792,	687.898,
67108864,	50,	2,	1,	0.065,	360,	4.86368e-10,	6.44032e-09,	7.22199e-09,	97.5979,	689.543,
67108864,	51,	2,	1,	0.065,	360,	4.878300000000001e-10,	6.523620000000001e-09,	6.91533e-09,	97.50460000000001,	712.714,
67108864,	52,	2,	1,	0.065,	360,	4.88667e-10,	6.631330000000001e-09,	7.0219e-09,	97.0424,	714.931,
67108864,	53,	2,	1,	0.065,	360,	4.90355e-10,	6.74601e-09,	7.1368000000000004e-09,	96.85430000000001,	718.871,
67108864,	54,	2,	1,	0.065,	360,	4.912290000000001e-10,	6.858290000000001e-09,	7.24736e-09,	96.30189999999999,	722.022,
67108864,	55,	2,	1,	0.065,	360,	4.929650000000001e-10,	6.972360000000001e-09,	7.36101e-09,	95.9962,	725.306,
67108864,	56,	2,	1,	0.065,	360,	4.94702e-10,	7.10019e-09,	7.4894e-09,	95.9628,	730.136,
67108864,	57,	2,	1,	0.065,	360,	4.964840000000001e-10,	7.22624e-09,	7.614440000000001e-09,	95.5655,	735.381,
67108864,	58,	2,	1,	0.065,	360,	4.9826e-10,	7.355110000000001e-09,	7.74344e-09,	95.45360000000001,	739.805,
67108864,	59,	2,	1,	0.065,	360,	5.000900000000001e-10,	7.468670000000001e-09,	7.855400000000002e-09,	94.9332,	741.948,
67108864,	60,	2,	1,	0.065,	360,	5.01903e-10,	7.59701e-09,	7.98344e-09,	94.74289999999999,	745.963,
67108864,	61,	2,	1,	0.065,	360,	5.046070000000001e-10,	7.74032e-09,	8.12767e-09,	94.8186,	753.07,
67108864,	62,	2,	1,	0.065,	360,	5.06459e-10,	7.86931e-09,	8.25597e-09,	94.5582,	756.72,
67108864,	63,	2,	1,	0.065,	360,	5.05881e-10,	7.7082e-09,	8.602180000000001e-09,	101.072,	718.059,
67108864,	64,	2,	1,	0.065,	360,	5.031160000000001e-10,	7.831070000000002e-09,	8.719950000000002e-09,	100.45,	720.056,
67108864,	65,	2,	1,	0.065,	360,	5.01633e-10,	7.955810000000001e-09,	8.852370000000001e-09,	100.903,	724.508,
67108864,	66,	2,	1,	0.065,	360,	4.99699e-10,	8.1269e-09,	9.021000000000002e-09,	100.565,	734.835,
67108864,	67,	2,	1,	0.065,	360,	4.97769e-10,	8.25088e-09,	9.14213e-09,	100.187,	735.877,
67108864,	68,	2,	1,	0.065,	360,	4.95844e-10,	8.37499e-09,	9.26301e-09,	99.7793,	736.765,
67108864,	69,	2,	1,	0.065,	360,	4.95442e-10,	8.53122e-09,	9.425140000000002e-09,	100.321,	742.968,
67108864,	70,	2,	1,	0.065,	360,	4.94353e-10,	8.66939e-09,	9.56312e-09,	100.238,	745.89,
67108864,	71,	2,	1,	0.065,	360,	4.92443e-10,	8.808490000000001e-09,	9.697800000000001e-09,	99.7108,	748.578,
67108864,	72,	2,	1,	0.065,	360,	4.913620000000001e-10,	8.9477e-09,	9.836169999999999e-09,	99.5622,	751.211,
67108864,	73,	2,	1,	0.065,	360,	4.909870000000001e-10,	9.111319999999999e-09,	1.00041e-08,	99.938,	757.445,
67108864,	74,	2,	1,	0.065,	360,	4.899160000000001e-10,	9.25186e-09,	1.01431e-08,	99.7217,	759.817,
67108864,	75,	2,	1,	0.065,	360,	4.88849e-10,	9.393050000000001e-09,	1.0282500000000001e-08,	99.4864,	762.093,
67108864,	76,	2,	1,	0.065,	360,	4.877870000000001e-10,	9.534610000000002e-09,	1.0422e-08,	99.2102,	764.22,
67108864,	77,	2,	1,	0.065,	360,	4.87438e-10,	9.697530000000001e-09,	1.05877e-08,	99.42810000000001,	769.171,
67108864,	78,	2,	1,	0.065,	360,	4.88498e-10,	9.87083e-09,	1.07625e-08,	99.5603,	775.914,
67108864,	79,	2,	1,	0.065,	360,	4.87437e-10,	1.00146e-08,	1.09033e-08,	99.19189999999999,	777.662,
67108864,	80,	2,	1,	0.065,	360,	4.86381e-10,	1.01588e-08,	1.10442e-08,	98.7938,	779.287,
67108864,	81,	2,	1,	0.065,	360,	4.868670000000001e-10,	1.0345400000000001e-08,	1.12366e-08,	99.3426,	787.169,
67108864,	82,	2,	1,	0.065,	360,	4.85821e-10,	1.0491400000000001e-08,	1.13786e-08,	98.894,	788.589,
67108864,	83,	2,	1,	0.065,	360,	4.85604e-10,	1.06535e-08,	1.15412e-08,	98.89450000000001,	792.671,
67108864,	84,	2,	1,	0.065,	360,	4.85391e-10,	1.08774e-08,	1.1765300000000001e-08,	98.8751,	804.595,
67108864,	85,	2,	1,	0.065,	360,	4.8508e-10,	1.10655e-08,	1.1953300000000001e-08,	98.8216,	810.546,
67108864,	86,	2,	1,	0.065,	360,	4.84878e-10,	1.12313e-08,	1.2118800000000002e-08,	98.7525,	814.339,
67108864,	87,	2,	1,	0.065,	360,	4.8468e-10,	1.13979e-08,	1.2285e-08,	98.6636,	818.063,
67108864,	88,	2,	1,	0.065,	360,	4.84485e-10,	1.15655e-08,	1.24519e-08,	98.5548,	821.719,
67108864,	89,	2,	1,	0.065,	360,	4.85027e-10,	1.17629e-08,	1.26528e-08,	98.89150000000001,	828.922,
67108864,	90,	2,	1,	0.065,	360,	4.848430000000001e-10,	1.19325e-08,	1.28213e-08,	98.7381,	832.436,
67108864,	91,	2,	1,	0.065,	360,	4.846630000000001e-10,	1.21031e-08,	1.2990500000000001e-08,	98.5649,	835.882,
67108864,	92,	2,	1,	0.065,	360,	4.84487e-10,	1.22745e-08,	1.31604e-08,	98.372,	839.259,
67108864,	93,	2,	1,	0.065,	360,	4.85056e-10,	1.2489800000000002e-08,	1.33782e-08,	98.6057,	847.333,
67108864,	94,	2,	1,	0.065,	360,	4.848910000000001e-10,	1.31009e-08,	1.66468e-08,	98.3119,	858.554,
67108864,	95,	2,	1,	0.065,	360,	4.84729e-10,	1.28378e-08,	1.3722100000000001e-08,	98.1113,	853.703,
67108864,	96,	2,	1,	0.065,	360,	4.84934e-10,	1.3330800000000001e-08,	1.68586e-08,	97.7744,	860.389,
67108864,	97,	2,	1,	0.065,	360,	4.85526e-10,	1.3453900000000002e-08,	1.69877e-08,	97.8876,	862.723,
67108864,	98,	2,	1,	0.065,	360,	4.86201e-10,	1.36541e-08,	1.71984e-08,	98.2792,	872.906,
67108864,	99,	2,	1,	0.065,	360,	4.86055e-10,	1.3599500000000002e-08,	1.4482600000000001e-08,	97.88010000000001,	872.525,
67108864,	100,	2,	1,	0.065,	360,	4.86368e-10,	1.3900900000000001e-08,	1.7420900000000002e-08,	97.5979,	876.707,
67108864,	101,	2,	1,	0.065,	360,	4.878300000000001e-10,	1.40636e-08,	1.7608e-08,	98.18660000000001,	882.783,
67108864,	102,	2,	1,	0.065,	360,	4.878300000000001e-10,	1.41184e-08,	1.58835e-08,	97.50460000000001,	906.503,
67108864,	103,	2,	1,	0.065,	360,	4.88659e-10,	1.4266600000000001e-08,	1.60357e-08,	97.5787,	910.498,
67108864,	104,	2,	1,	0.065,	360,	4.88667e-10,	1.43829e-08,	1.6144300000000002e-08,	97.0424,	911.304,
67108864,	105,	2,	1,	0.065,	360,	4.903370000000001e-10,	1.45461e-08,	1.63183e-08,	97.4237,	917.28,
67108864,	106,	2,	1,	0.065,	360,	4.90355e-10,	1.4666000000000002e-08,	1.6429700000000003e-08,	96.85430000000001,	917.881,
67108864,	107,	2,	1,	0.065,	360,	4.91203e-10,	1.4825600000000001e-08,	1.6592199999999998e-08,	96.90010000000001,	923.208,
67108864,	108,	2,	1,	0.065,	360,	4.912290000000001e-10,	1.49454e-08,	1.67027e-08,	96.30189999999999,	923.609,
67108864,	109,	2,	1,	0.065,	360,	4.929280000000001e-10,	1.5109600000000002e-08,	1.68766e-08,	96.6275,	929.247,
67108864,	110,	2,	1,	0.065,	360,	4.929650000000001e-10,	1.52292e-08,	1.69862e-08,	95.9962,	929.443,
67108864,	111,	2,	1,	0.065,	360,	4.93831e-10,	1.5378700000000002e-08,	1.71376e-08,	95.98360000000001,	932.863,
67108864,	112,	2,	1,	0.065,	360,	4.94702e-10,	1.5541100000000002e-08,	1.7301600000000003e-08,	95.9628,	937.493,
67108864,	113,	2,	1,	0.065,	360,	4.95603e-10,	1.5663500000000003e-08,	1.74199e-08,	95.5932,	938.177,
67108864,	114,	2,	1,	0.065,	360,	4.964840000000001e-10,	1.5847100000000002e-08,	1.9362200000000002e-08,	95.7149,	913.661,
67108864,	115,	2,	1,	0.065,	360,	4.9737e-10,	1.59964e-08,	1.9513400000000003e-08,	95.6623,	916.601,
67108864,	116,	2,	1,	0.065,	360,	4.9826e-10,	1.616e-08,	1.96785e-08,	95.6015,	920.794,
67108864,	117,	2,	1,	0.065,	360,	5.000150000000001e-10,	1.6327e-08,	1.986e-08,	95.8269,	925.565,
67108864,	118,	2,	1,	0.065,	360,	5.000900000000001e-10,	1.64309e-08,	1.9938300000000003e-08,	95.0793,	923.477,
67108864,	119,	2,	1,	0.065,	360,	5.009940000000001e-10,	1.6581e-08,	2.0088400000000003e-08,	94.9875,	926.158,
67108864,	120,	2,	1,	0.065,	360,	5.01903e-10,	1.67459e-08,	2.0253000000000003e-08,	94.8874,	930.133,
67108864,	121,	2,	1,	0.065,	360,	5.03687e-10,	1.69258e-08,	2.0445000000000002e-08,	95.0634,	936.024,
67108864,	122,	2,	1,	0.065,	360,	5.046070000000001e-10,	1.7077e-08,	2.05949e-08,	94.9447,	938.531,
67108864,	123,	2,	1,	0.065,	360,	5.05531e-10,	1.7228300000000003e-08,	2.07446e-08,	94.8178,	940.981,
67108864,	124,	2,	1,	0.065,	360,	5.06459e-10,	1.7395e-08,	2.09092e-08,	94.68260000000001,	944.769,
67108864,	125,	2,	1,	0.065,	360,	5.06852e-10,	1.70799e-08,	2.4591e-08,	101.169,	909.452,
67108864,	126,	2,	1,	0.065,	360,	5.05881e-10,	1.7229800000000002e-08,	2.4736100000000003e-08,	101.061,	911.401,
67108864,	127,	2,	1,	0.065,	360,	5.049110000000001e-10,	1.73799e-08,	2.48806e-08,	100.94200000000001,	913.298,
67108864,	128,	2,	1,	0.065,	360,	5.031160000000001e-10,	1.7538200000000002e-08,	2.50031e-08,	100.438,	915.874,
67108864,	129,	2,	1,	0.065,	360,	5.02601e-10,	1.7694099999999998e-08,	2.5232800000000004e-08,	101.043,	920.259,
67108864,	130,	2,	1,	0.065,	360,	5.01633e-10,	1.78452e-08,	2.53755e-08,	100.889,	921.972,
67108864,	131,	2,	1,	0.065,	360,	5.00665e-10,	1.7996500000000002e-08,	2.55175e-08,	100.72500000000001,	923.633,
67108864,	132,	2,	1,	0.065,	360,	4.99699e-10,	1.82588e-08,	2.5769700000000002e-08,	100.55,	936.353,
67108864,	133,	2,	1,	0.065,	360,	4.98734e-10,	1.8411500000000002e-08,	2.5911500000000003e-08,	100.366,	937.876,
67108864,	134,	2,	1,	0.065,	360,	4.97769e-10,	1.85645e-08,	2.6052700000000002e-08,	100.172,	939.347,
67108864,	135,	2,	1,	0.065,	360,	4.96806e-10,	1.8717700000000003e-08,	2.6193400000000003e-08,	99.9671,	940.766,
67108864,	136,	2,	1,	0.065,	360,	4.95844e-10,	1.88794e-08,	2.6341700000000002e-08,	99.7527,	942.903,
67108864,	137,	2,	1,	0.065,	360,	4.96401e-10,	1.9492400000000002e-08,	3.454890000000001e-08,	100.741,	941.929,
